No,Author,Date,Rating,Review
57,ISAAC WOLF,Reviewed in the United States on 28 March 2024,5,"My benchmark is almost at 14k now with without overclocking.nVidia GTX 1080, 65gb 6400 ram and 2gb PCIE5 SSD, Gigabyte Z790 Elite x wifi7 motherboard.I won't need to change this setup for the next decade or so like I did with my last PC.Worth the money, but you'll need the right SSD to go with it."
58,Keith,Reviewed in the United States on 15 March 2024,5,"This is the first time I've ever went for it and got an i9. I usually stick to the i7. I am so glad I decided to take the chance because this thing screams. To think that I can also squeeze out more by overclocking is just insane. Every application I've ran is so snappy and responsive. Being an impatient human, this thing makes me happier every time I turn it on. Power and Speed are right where I like it. This chip is just so damn sweet!"
59,Core i7 14700kf,Reviewed in the United States on 28 April 2024,5,"New, great product, came as described and very fast at the same day!"
60,KB,Reviewed in the United States on 22 March 2024,5,"This is an excellent, stable CPU. Care must be taken to keep it cool. It is a hot running CPU. To avoid heat throttling at 100deg Celsius in heavy duty gaming or testing, order a high end liquid cooler. For professional work and easy gaming a big block fan cooler will be just fine as it is much more quiet. To save a littlemoney, if at all, the I9-13900K will work just as well performance wise."
61,Brayan alberto perez,Reviewed in the United States on 29 April 2024,5,I love it.
62,Brian Styles,Reviewed in the United States on 28 March 2024,5,"Even you're getting hotter temps despite having great cooling, it's normal for this CPU.It's a beast.I recommend using a triple-fan-radiator AIO cooler to keep this bad boy as cool as possible. And make sure to blow the hot air OUT of your PC case."
63,J Hartman,Reviewed in the United States on 24 February 2024,5,"Not sure what more to say other than it's crazy powerful.Make sure you have a high watt power supply to go with this and all the devices you plan to run with this.And really don't go small on the CPU cooler.This thing is good at figuring out when to throttle down.You'll get it's best performance with a large aio water cooler.If you can build your own water cooling system, better.Also, make sure your mobo manufacturer haveall the drivers available to work smoothly with these lines of processors."
64,jebbook,Reviewed in the United States on 20 April 2024,5,Works - what else is needed?a little expensive.
65,4K Motoring,Reviewed in the United States on 23 March 2024,5,"No issues with this seller or product, but for those that are looking for a new PC part the 14900 k is merely a refinement over the 13900k which you may be able to find cheaper."
66,Brian the Engineer,Reviewed in the United States on 20 October 2023,5,"It's a Raptor Lake refresh CPU. If you have a 13900K you don't need this. Unless you are an extreme over clocker or need every possible MHZ per thread and stability. If you have a 13900KS you really don't need this CPU.If you have a 12th Gen, it might be worth it to you if you need that extra performance but really depends on what you do.If you are on 11th Gen or below and were looking to upgrade, you might as well get a 14700K or 14900K or KF as they are similarly priced with the 13th gen processors.Also, the 14700K has a 4 more E cores and higher clock speeds which can result in 10-20% performance gains depending on the workload compared to the 13700K.Otherwise wait for the next generation of CPUs to make the leap."
67,Keyra,Reviewed in the United States on 24 March 2024,5,"The Intel i9-14900K delivers impressive performance with its high clock speeds and advanced architecture. It excels in demanding tasks like gaming, content creation, and multitasking, offering smooth and responsive performance. The integrated graphics are decent for light gaming and multimedia tasks. However, it's power-hungry and may require robust cooling solutions. Overall, it's a top choice for enthusiasts and power users seeking uncompromising performance."
68,Jesse Ryan Peterson,Reviewed in the United States on 4 May 2024,5,"The media could not be loaded.This beauty does exactly what it says, super fast overclocking her to 6 GHz run smooth."
69,Peanut,Reviewed in the United States on 24 October 2023,5,"Intel has always worked better for me than competition. I feel like reviewers benchmarks may not be realistic to a typical PC setup. I'm getting 620Fps at 1440P in Rainbow Six Siege on a 4090 ROG Strix OC. Yes at this framerate my fans do spin fast and are loud, but I limit the frames to 143 and then it is quiet and the fans hardly spin.Case: Corsair 4000DGPU : Asus ROG STRIX 4090 OCCPU : Intel Core i9-14900KPSU : MSI MPG A1000G PCIE 5 ATX 3.0Cooler : ARCTIC Liquid Freezer II 280Fans : 4x Antec PF12 SeriesStorage : 2X SAMSUNG 990 PRO SSD 4TB870 EVO 4TB 2.5 InchMemory : 64GB 2x32 Corsair Vengeance 5600MHz CL40 XMPNote: I would not recommend the cooler for this case and MB combo Heatsink on MB blocks cooler which doesn't properly screw in totally."
70,A. L. Fowler,Reviewed in the United States on 26 January 2024,5,"I like the CPU because of the speed and easy install with no problems.I use two 140 Cooler Master radiator fans to keep the unit cool. I totally rebuilt my computer with a Asus Rog 790Z board, 5 M.2drives. I get a total boot up in 15 Seconds. I use the unit for Data, Video and music.I've used intel chips and Asus Boards for over 30 years and never had a problem.With this package I get instant access to all my files. Very happy with my purchase."
71,Juan Carlos Valdes,Reviewed in the United States on 25 March 2024,5,I build it my new editing PC and use this 14th generation processor (24 cores and 32 threads).
72,MiniMech,Reviewed in the United States on 31 March 2024,5,Runs at a good temp with a kraken 360 elite.
73,J. Merrick,Reviewed in the United States on 3 April 2024,5,Great performance. Lots of heat.
74,Robert D,Reviewed in the United States on 31 January 2024,5,"I had a minor hiccup with my new 14900KF, but I contacted Intel and their customer service was fantastic. They sent me a new one and it's working great now. This thing is like a buzz saw in gaming. I have a negative offset on the voltage of -0.0500v and the hottest I've seen it get was 62c while playing Horizon Zero Dawn maxed at 4K. It was getting as high as 190 FPS every now and then. This CPU is brutal man. Top flight customer service too."
75,Tristan Sumner,Reviewed in the United States on 17 January 2024,5,"Awesome CPU thing can handle anything and everything for at least my needs as a gamer, and programmer! HIGHLY SUGGEST getting a 360 AIO or a custom water loop, and a CPU bracket if you are getting this CPU. It run's very hot getting a CPU bracket cut down my temps about 5-10 degrees. I'm not sure how good air coolers are for this CPU but I've seen a lot of people not suggest it. I use a 360 AIO Loop and it works great at keeping this thing cool!"
76,Yuxin Peng,Reviewed in the United States on 9 May 2024,5,The media could not be loaded.Works well on my new PC
77,An Amazon Customer,Reviewed in the United States on 4 November 2023,5,"This CPU is amazing. Feels like magic. I have it running in an Asrock PG Sonic 700 series, with 32GB GSkill DDR5 7200, and a Crucial T700 2TB PCIe 5.0 SSD and Cooler Master Masterliquid Atmos 360. Anytime u do anything, even click a icon the cpu jump up to 6Ghz. And for me stay under 30C Idle and under 70C Max Load. Never mind what temperatures it runs at, I can't get it to throttle. Seems like all of its power is available on demand all the time. And I'm basically computing in Real Time. The 13900K was fast, significantly faster then the 12900K, and this CPU even though on paper it doesnt look like they did much, and in benchmarks it looks close, it still feels like 15-20% faster the 13900K when your using it. I feel like it runs cooler then the 13900K, the 13900K was the hot chip. I don't know how they do it. Like I said it's like magic how it stays at 6GHz and stays so cool."
78,I never received it .,Reviewed in the United States on 20 February 2024,5,"Love the processor, got it new and using with a rtx 4090 for 1440p. Have it paired with a z690 formula board and I have the ai optimize the cpu. On a 420 cooler it gets 60c at best with warzone 3 with 240 fps. Fast and consistent,on a 240 cooler Temps got up to 71-81c keep that in mind. Love my purchase!"
79,Keirns,Reviewed in the United States on 2 April 2024,5,CPU runs at max 65 C. Seems good to me.
80,The besto reviewer random,Reviewed in the United States on 2 December 2023,5,"A very powerful processor, but if it does not have good cooling, its functions will be limited. Currently it is working wonders together with the other components. But if they have a moderate cooling system, it is advisable to use the other brand of processors ""AMD"" that has half the temperatures, but with 10% to 20% less performance in some activities, and with the defects that come with not have an architecture that self-protects well or do not update its software often for better handling.Finally, I recommend the processor, only if you have a processor that does not meet current needs. My I7 6700k can do it all, but for some specific technologies, such as SSD Gen 4, peripherals with high-speed USB - C and others, it couldn't cope."
81,Linz,Reviewed in the United States on 10 February 2024,5,"The i7 14700KF isn't just a CPU; it's a beast unleashed. This 20-core powerhouse purrs like a kitten under normal workloads, staying surprisingly cool thanks to its 7nm architecture. But don't be fooled by its initial demeanorthis CPU is a wolf in sheep's clothing, ready to tear through any demanding games and content creation tasks with ease, I paired with an rx 7900 xtx and forgot about frame rate drops and stuttering."
82,stephen,Reviewed in the United States on 10 December 2023,5,"Does as intended. Topped the stock benchmark stats. It's a heater but the I9s are the top performs. Recommend no smaller than a 360 cooler, I went Artic due to the increased width of their radiator core. Top temp (tuned) 95c but will play most games in the 65c range. VR put a greater heat of 91c max but the flight sim was beautiful and smooth as can be with water takeoffs and landings. This was an upgrade to a 12700kf that I chose awaiting the 14 generation processors. I have this combined with a Nvidea 4080 on a MSI z690 board with 64gb ddr4.Smooth gaming."
83,kbowen,Reviewed in the United States on 19 February 2024,5,I really enjoy the speed of this processor. IO would definitely use this again on another build. Didn't rate the gaming because I am not a gamer but I would expect it would be great for that as well.
84,Mitch,Reviewed in the United States on 18 February 2024,5,It was either this one or the 13th gen. I went with this one for the few extra bucks to stay up to date with things longer. Works great so far with no issues.
85,wise buyer,Reviewed in the United States on 5 February 2024,5,"This CPU is for work use. It is very stable at stock speeds. It worked great right out of the box. I doubt if I will ever have to think about it again. I recommend it for real world use. As for gaming, I just can't say how it would perform."
86,Bela,Reviewed in Germany on 6 February 2024,5,"The i9 14900K is undoubtedly a very powerful CPU!Just for gaming I wouldn't recommend, for gaming and working, YES!Also, think about a GOOD COOLING solution (custom watercooler, cryo,...) and/or undervolting (depends on MoBo).A regular 360mm AIO has a hard time keeping this CPU cool!"
87,Carlos Gonzalez Debia,Reviewed in the United States on 8 December 2023,5,"Este producto fue comprado en base a la información técnica de compatibilidad de INTEL y ASUS para la placa madre ASUS ROG Maximus Z690 Hero. Sin embargo, NO funciona, el sistema operativo no arranca. Se hicieron todas las pruebas sugeridas por ASUS, pero, simplemente NO funciona. Es más, se cambió a un nuevo procesador i9-14900KF y dió los mismos resultados, NO funciona. Aún estoy esperando respuesta de ASUS (2023-12-08). Si alguien tiene la misma placa madre y el mismo procesador, agradecería su sugerencia.Nota: la placa madre ASUS ROG Maximus Z690 Hero funciona perfectamente con procesador i9-12900KF"
88,Andrew,Reviewed in the United States on 26 February 2024,5,"Decided to go Intel over AMD and this cpu will not disappoint you. I’d recommend looking into the E-Core and Pcore information before you buy, haven’t noticed any issue with it but still a nuisance"
89,Daniel Salazar Valencia,Reviewed in the United States on 15 April 2024,5,"The media could not be loaded.Perfecto, es un i9 no se puede decir más"
90,Ron Kramer,Reviewed in the United States on 4 March 2024,5,PERFECT!EASIER to install than I thought as a first time processor install for me.WORTH WHILE performance increase from my (also good 12700). And helped unleash the power of my 4090oc GPU.
91,derek,Reviewed in the United States on 9 March 2024,5,upgraded from a 12600kf and 3080 10gb and went to this 14700kf and 4070 ti super and its great. added 60-70fps on a lot of games.
92,JP,Reviewed in the United States on 20 March 2024,5,Currently playing Battlefield 2042 with this beast and it’s silk smooth even paired with a 1080ti
93,JustMe,Reviewed in the United States on 6 February 2024,5,Upgraded from a 13700k and it is noticeably faster but not a huge upgrade.Only went with the 14900k as it will be the last CPU I will need to buy for at least 3 years.
94,Thom,Reviewed in the United States on 22 March 2024,5,Runs hot but runs very well needs a good good good cooler
95,Andreas F.,Reviewed in Germany on 21 February 2024,5,"Amazing performance. But you should definitely use a water cooling solution; with an air cooler, there's a high risk of the processor throttling due to overheating."
96,pcordes,Reviewed in Germany on 22 January 2024,5,"The processor is indeed quite expensive, and we still prefer Intel over other manufacturers. The installation of the processor was extremely easy, and it delivers exactly the performance we were hoping for. It's set to keep things quiet for the next few years."
97,"Bueno, recibí muy buena atención y el paquete llegó en buenas condiciones en un plazo del menos esperado. En cuanto al funcionamiento, lo probaré en unos días",Reviewed in Mexico on 23 March 2024,5,"The product arrived earlier than expected and in good condition, which is greatly appreciated. I will be testing it in the coming days."
98,malkocoglu42,Reviewed in Germany on 9 March 2024,5,"Everything is okay, gladly again. Thank you!"
99,Milesk182,Reviewed in the United States on 2 November 2023,5,I had the 13900k which is the same chip but it's a binned chip meaning the cream of the crop. My temps are 10c lower and the stabilization from core performance is much better. Yes it's about a 10fps jump but the temps are so much better. If you have a 13th gen it's not worth the upgrade but for my situation I didn't have to fully pay for the upgrade. Great chip if your just jumping on the platform.
100,Arsen Sargsyan,Reviewed in the United States on 23 March 2024,5,Everything was great
101,Théo,Reviewed in France on 8 November 2023,4,"Great, no surprises on the power of this processor—it's a beast! Key point: it runs hot! I had to install a 420mm AIO cooler to properly cool the processor. Second point: it consumes a lot of power! You can always adjust up to 125 watts in your BIOS to address this (a loss of 4-8% in performance). Honestly, if you're a gamer and don't need raw power, consider going for an i5 instead; it will suffice."
102,Kindle????,Reviewed in Japan on 13 March 2024,4,"13600K?????????????????????????????????????????????????????????????????????????(????????????????????)???iPad????????????????OBS????????????Tiktok live studio?1080P60 8000kbps????????????(?????Voicebox, ??????)???Android???????????????CPU??????????????????60????????(RAM20GB?VRAM9GB??)CPU??????????????????????CPU??????????????????????????????????????????????????????????????"
103,???,Reviewed in Japan on 12 April 2024,4,?????
104,J,Reviewed in the United States on 11 January 2024,4,"I built 3 systems using 14900 series. They all had serious stability problems when in use.After researching for weeks and reinstalling OS with no better result.I finally disabled overclocking ""AI overclocking"", which was running as high as 1.6v.I also found a BIOS setting after running some tools and set it INTEL FAIL SAFE.this allowed me to run the AVX2 stress test successfully.It basically throttles the chip.I can't tell you the frustration this caused figuring this out.Everything from chrome browsers to Adobe CS would crash randomly for no apparent reason every few minutes while all ""tests"" showed it was fine.I lowered my refresh rate to 60 from 120, killed AI overclocking and set the INTEL setting and now have a very stable system. It outperforms my 5950x when encoding, which is impressive.It does run HOT even with water cooling.IF I had it to do over again, I would avoid 13000 and 14000 chips as there is a OODLE issue as well when it comes to gaming with Unreal 5.Basically an unfixable hardware flaw that affects some chips.Here's the thing, you will not notice a difference as nothing I use with the exception of HANDBRAKE, ever comes close to maxing out the chip when in use.Adobe CS uses my 3080ti and the intel quicksync iGPU simultaneously which rarely went above 40%, and usually was around 15-20 when editing.HW encodes for HD were at 350fps, software, 250, intel 300.So a small advantage in Adobe CS is why I went with the 14900K vs KF.System was using ""AI overclocking"" pushing it to 6.2 roughly single core.Disabled in BIOS now.Specs: Asus z290a Wifi II, Corsair 96GB DDR5 5600, Samsung 990 Pro, CPU Water cooled, 3080tiSo the ""K"" is basically useless for me at this point and don't see myself doing it manually as it's just not worth it to me.That said, when stable, it's a very capable chip."
105,Matias r.,Reviewed in the United States on 5 May 2024,4,"The processor is great and arrived sealed in good condition, however, the cardboard box had no protection and it could easily be damaged if it fell."
106,Anthony,Reviewed in the United States on 2 April 2024,4,"I'm definitely gonna upgrade later but this is handling itself pretty well with dragon dogma 2 to fortnite and everything in-between, only gripe is that there's no small arrow on the actual CPU to indicate where to place it on motherboard so if you tossed the packaging without looking you might be bit confused with orientation otherwise good."
107,Papalati,Reviewed in the United States on 24 February 2024,4,"Wanted to purchase the unlocked version of the 20 core 14th gen processor and saw that this was a cheaper option at the time. All the description says is that ""Discrete graphics is required."" It would be much more helpful by adding a line that says the F version stands for no integrated graphics card. If you're doing any kind of workstation work such as video editing, most software will take advantage of the processor having an iGPU as well and so I'm actually losing performance with this model version. I'll have to return the item to purchase the correct version without an F. I would give it a full 5 stars if it had the line explaining the F version."
108,Daniel W.,Reviewed in the United States on 17 February 2024,4,As a Gamer/Data Scientist/Programmer/Tinker I wanted a mainstream CPU built by a well established company. With Intel's i9-14900K CPU I have a top of the line general purpose chip which provides above average performance in all the computational fields I have an interest in. I only gave it a 4-star rating because I had hoped that Intel would have brought the 15th generation chips out in 2023 Q4 as they said rather than just the mobile chips.
109,Moises,Reviewed in the United States on 13 March 2024,4,Excelente procesador super rápido lo recomiendo a los todos los que quieran actualizar su computadora o armar una nuevayo lo utilizo con la tarjeta de video 4080 super excelente combinación..
110,Colby Pugh,Reviewed in the United States on 20 October 2023,4,"I built PC with the new Intel i9-14900k, and I must say, it's a beast of a processor. Coming from an i7-8700k, the performance boost is nothing short of incredible. Multitasking, gaming, and content creation have all seen a significant improvement. Multithreaded applications and gaming experiences run smoother.It's a productivity powerhouse. The clock speeds are no slouch either, making it excellent for single-threaded tasks and gaming. The major downside of this CPU is the heat it generates. Even with a high-end cooling solution, it tends to run hot, and that's something you must take into consideration when setting up your cooling solution. Be ready for this CPU to draw a significant amount of power at full load. It can put quite a load on your power supply and might necessitate an upgrade if you're not already prepared. The Intel i9-14900k is an incredible processor, and the upgrade from an i7-8700k is substantial. Its exceptional performance in various tasks justifies its price tag. If you're willing to address these challenges, you'll be rewarded with a fantastic computing experience."
111,Resmai,Reviewed in the United States on 20 February 2024,4,"It arrived in a sealed package but it was stained and with a thumbprint on it. Looks like it might have had thermal paste removed? I'm not crazy about that because I paid for new, but it seems to work fine."
112,Matt,Reviewed in the United States on 3 February 2024,4,"great cpu, not as powerful as I thought it would be. Ended up going with a 14700k, just seemed a bit laggy even when running at5.8 all core.. great cpu though and runs cool"
113,Bryan S,Reviewed in the United States on 18 January 2024,4,"May be a little excessive and unnecessary, but glad I got one when I did.Sometimes these things get hard to acquire, especially at a decent price.Seems to run a little hotter than my Ryzen 9 7950X, so I went with dual 420mm,If you buy this CPU you should really consider custom loops or large cases with 420mm AIO support."
114,Alex,Reviewed in the United States on 19 December 2023,4,Perfecto para las tareas más demandantes y los juegos más pesados en cuestión de rendimiento en pocas palabras perfecto para gaming y programas pesadosSe lleva muy bien con una RTX 4090 24 GbPiénsalo bien en cuestión de rendimiento
115,Caerbannog,Reviewed in the United States on 5 December 2023,4,"I write code for a living and this CPU builds my code 5.7 times faster than my prior (6th gen) development machine.I'm really happy about that.Plus it can run 32 concurrent threads which means I can easily host multiple VMs.Nice!Only downside of this CPU, for me, is no VROC (RAID in CPU) support."
116,Cat,Reviewed in Japan on 8 May 2024,3,"A decent processor, but disappointing BIOS support. It's frustrating that essential BIOS updates are delayed or incomplete, causing compatibility issues with newer hardware like M.2 drives. "
117,SaK,Reviewed in Japan on 3 February 2024,3,"Despite efforts to troubleshoot, the advertised compatibility with 13th gen GPUs didn't match reality."
118,Arrie,Reviewed in Japan on 20 March 2024,3,"Sufficient for basic tasks, but power consumption concerns linger. Despite claims of efficient performance on YouTube, it struggles with power-intensive tasks and falls short of expectations set by i9-K processors."
119,Bran,Reviewed in Japan on 23 January 2024,3,"Not living up to expectations. Despite promises of compatibility with 13th gen GPUs and overclocking capabilities, encountered persistent issues. "
120,elviscera,Reviewed in the United States on 5 April 2024,3,"Once they came down in price, I did get a i9-14900K as an ""upgrade"" from a i9-13900KF toi9-14900K .It's OK but I can't rave over it.It is more of an sideways change rather than an upgrade.The i9-14900K is fast but not more so that a i9-13900K.For me, the Cinebench R23 scores are about the same for 13th versus 14th gen.Though the i9-14900K appears to run DDR5 more stably and at higher frequencies than the i9-13900K.Also, the i9-14900K is enabled for XTU AI enable tuning in XTU but it's not that helpful.I even wonder if it is worth getting a K at all, these CPU's are plenty fast for gaming without overclocking.I did NOT notice a significant improvement in the operating temperatures.Maybe a slight improvement but I did flush out the cooling system and clean out the water block so I am doubtful that the running temps are better.Also, I suggest that you NOT let these chips get anywhere near TjMax (100C).I had one i9-13900KF literally fail due to allowing it to get to TjMax frequently when stress testing.A second one became slightly flaky.I thought the built in ARC display support of the K version might be helpful since I intended to devote the graphics card to the gaming monitor and use the built-in ARC on a side display.But as it turns out, it wasn't worth it for me.If you are gaming with this level of processor, you really need a comparable graphics card but most of them will drive four displays.IMO, you are better off getting a KF and spending the money so saved on better graphics card.The original asking price was insane, I bought it on a whim on a late night.On the morning morning after, I had buyers remorse, tried to cancel but could not, so instead, I refused the package.It took literally 6 months to get a refund.That was rather irksome."
121,David Silva,Reviewed in the United States on 7 June 2024,3,i just got mad oved the tumbling issue. The performance of the processor is fine.
122,Cpu was not in the box as it was advertised. Cam in a cardboard box. Sealed in a plastic wrapped. Without instructions,Reviewed in the United States on 3 May 2024,3,"Because of the crash problem and we are told to turn down the performance in the CPU, We are not getting the performance we paid for. INTEL is saying it's the motherboard, and the motherboard is saying it's INTEL. we are not getting what we paid for, I think they should recall and give us a refund ?? what a waste."
123,Chris,Reviewed in the United States on 17 February 2024,3,"I've built computers for more than 20 years, and I have never in my life had so much trouble booting with stock bios settings. I think I finally lost the silicon lottery. Using an Asus mb, I had to go into bios limit voltage and manually tune each pcore. Temps were wild and out of control 100°c, clock speeds were low thermal throttling, random crashes, blue screens inability to run simple programs without them crashing and shutting down. Tried intel xtu auto overclocking, ai suite, and asus ai overclocking via bios.. none of that worked. Had to just dig into bios, set limits, and manually tune each core. Now system is stable and solid. Been benchmarking and stress testing for a few days now. Temps are great, and I am happy. Not sure if mb is culprit, gonna get another board and test the chip. Just be ready for some trouble. Looked over many forums of others having the same issues."
124,Mailyn Gonzalez,Reviewed in the United States on 9 March 2024,3,"I was really pleased with this processor in the beginning, was running it at 6.1Ghz as a daily driver and even 6.4Ghz. About a month or two in to owning it they released an Intel Management Engine update for this processor and that was it no more overclocks. Every game would now crash if the processor was overclocked. I am tired of playing cat and mouse with Intel, won't be buying a processor for a while until things drastically change."
125,Maul,Reviewed in the United States on 3 January 2024,3,"My 13900k never thermal throttled in any game, yet I'm getting thermal throttle spikes when playing games like Cyberpunk with the 14900k. My 360 AIO mount is not the issue, as temps hover around 90-93c when stress testing at 253w. I'm also using a contact frame. I'm thinking the issue might be the increased voltage at the stock 5.7 all core frequencies, because my power usage has increased a lot while gaming. Whatever the case, I'm not the only one seeing this behavior - it's unacceptable.Update: Reducing the e-cores to 4.3 helps significantly, and setting everything to 5.5/4.3 (13900k values) solves it completely. Simply too much voltage is being pumped into the chip at stock frequencies. I've set up a Thermal Velocity Boost profile where 80c drops to 5.6, and 90c drops to 5.5, with e-cores at 4.3... and the issues are basically gone. Ridiculous that this has to be done though."
126,King-Kurt-Kauft,Reviewed in Germany on 25 February 2024,3,"I bought the CPU on Amazon and received brand-new, sealed packaging. Amazon gave it 5 stars. Regarding the Intel CPU: the generation is successful. HOWEVER, AMD's competition also has its advantages. Due to unused optimization opportunities, I have to deduct points from Intel and give it 3 stars.

Cons:

Thread Application Optimizer not available
CPUs are generally very expensive, around 300-340 euros without a cooler
Gray Area:

Gaming performance is actually very good, but compared to AMD gaming CPUs, it's satisfactory.
Power consumption: For my use cases, it's okay to good.
Pros:

High clock speeds
CPU is the most rounded overall package
Intel offers optimization opportunities through software (Thread Application Optimizer, OC RAM, Microsoft Direct Storage, modern interfaces)
WLAN7"
127,Lance C.,Reviewed in the United States on 20 March 2024,3,Super hot CPU. Investing in this means investing in serious cooling for it.
128,Rishi,Reviewed in the United States on 14 December 2023,3,It's no secret that the memory controller is a lottery on this and 13th gen cpus. It's very flaky.7200mhz XMP profiles are unstable. 4 sticks of RAM is unstable.Other than that the CPU does its job. It's basically just a binned 13900ks. Nothing special.
129,Mauricio,Reviewed in the United States on 25 October 2023,3,"The box had a box cutter cut on the top, and honestly, it bothers me that there's so little care taken with the packaging of such expensive products."
130,Mr. Fox,Reviewed in the United States on 22 April 2024,2,The one received was a silicon lottery loser that required excessive and abnormally high voltage and had horrible SP-ratings. It was returned because the poor silicon quality made it unsuitable for the purpose for which it was purchased. I purchased a 14900KF from Amazon to replace it and it was equally poor quality and had to go back. Intel needs to cull their trash samples and sell them at a lower price. A CPU that needs 1.500V to run stock turbo clocks is unacceptable and impossible to properly cool.
131,KTS,Reviewed in the United States on 4 May 2024,2,"I have this CPU on an ASUS z790 Hero MB with a H150i 360mm AIO cooler. This cpu temp spikes and throttles like crazy under high load. Using Thermal Grizzly paste as well. I have built competition systems for over a decade. This is not normal... Been following the online ""declocking"" and ""undervolting"" and that is unacceptable."
132,Justin,Reviewed in the United States on 5 May 2024,2,"I was thinking, i am building my first major rig and wanted a beast of a processor. Wiff. this thing has the stability of someone on a unicycle on a tramploine. somedays its all good, others.. well i think you can imagine."
133,Ryan's Reviews,Reviewed in the United States on 21 February 2024,2,"I've got an Arctic freezer II, and direct contact place to try and cook this thing off but it's too hot. I had the underclock the voltage for my CPU in the BIOS to get this thing to not overheat while exporting Adobe videos. Intel missed the mark here and I'm pretty mad I can't return it. It works fine doing normal tasks, and gaming, but when I want a 3D render something or encode/export a video then it will thermal throttle at 100° C with fans at max speed. It literally spikes up to 100 in like one second."
134,Sumit Kumar,Reviewed in India on 28 March 2024,1,I don't liked the price of it .I Also don't liked the performance of it .Rather you can purchase i9 13th generation
135,Nipun,Reviewed in India on 7 December 2023,1,13 gen is better with same performence at low pricing. Avoid this product cause it have only 2 core touching 6000 mhz so in real life there are no difference.
136,Lyric Morris,Reviewed in Canada on 1 December 2023,1,Not buying a cpu from this seller again wen my order came I opened the box and the cpu was not in the box even tho it still has the factory seal wast of almost 1k bucks
137,lukino,Reviewed in Italy on 13 June 2024,1,"Unaffordable seller, I returned three processors due to defects. Additionally, there was a square mark on the exterior as if the logo had been reprinted. I contacted Intel, who found this very unusual and decided to replace the processor, which I didn't request but appreciated nonetheless. Upon receiving the replacement directly from Intel, I noticed that the square mark was different—it was practically nonexistent, and the product's finishing was different. What can I say? Always be wary of resellers. I do not recommend them."
138,Nick Gallant,Reviewed in Canada on 3 May 2024,1,"I have had soooo many stability issues it is unreal.I originally purchased the i9 13900k, did no overclocking but had soooo much trouble with the system that I stupidly replaced the mainboard and video card.I didn't refund as I assumed that I had done the damage.Literally months of troubleshooting and doubled expenses before I realized that the asus mainboard defaulted to super high wattage and the chip itself began to degrade at an extremely fast rate.Yet again assuming that I must have done something wrong I ordered this replacement chip, to find issues suddenly occuring again.This is about when the news dropped on mainboard suppliers and intel passing the buck on an inherently co dependant series of faults that have personally cost thousands upon thousands of dollars.I'm an IT professional, have been in the industry for more than 20 years, and have never encountered a situation so costly for the end consumer.I really hate to say it, I hold stocks in intel, I've loved them as a brand and considered them to be a number one choice, I can no longer say this.I honestly think there should be a class action lawsuit over this chip and it's predecessorI had to purchase 2rtx 4090 and 2 asus mainboards before I could even lock down this issue.I hate to say it but if I'd gone with a competitor I would have saved multiple thousands of dollars."
139,Yanis,Reviewed in Canada on 29 October 2023,1,Consumes up to 320 watts. Too expensive in terms of value for money.
140,Amazon Kunde,Reviewed in Germany on 4 May 2024,1,"When it was one month and two days old, it started smoking when I tried Ai Overclocking. I pulled on the PC cable and left two marks on my motherboard (Asus Z690 Maximus Extreme). Now I've ordered a new motherboard and CPU. I wouldn't recommend it."
141,Mark,Reviewed in the United States on 20 March 2024,1,"I've been a lifetime Intel diehard fan but man they really pushed a disappointing product out. This thing gets HOT, I've been building computers for a while but I've never seen a CPU regularly spike to 100 C with liquid cooling. My previous 8700k ran great and was fulling overclocked to 4.8GHz and I never saw anything higher than 78 C under 100% load. I was so sketched out by seeing the 14700k temps that I ran Intel's CPU diagnostic software and I couldn't even finish it! The temps got to a steady 93-100 C while testing so I had to cancel it and let the CPU cool down.I even tried some gaming with it and while playing Helldivers 2 at ""High/Medium"" settings It liked to hover at 95C and spiked constantly. This caused thermal throttling and game stutters followed with it. Even while at the desktop fully idle my temps would spike around from 25 C all the way up to 70 C. The reason for this is the new LGA 1700 socket ILM, you have to buy, replace, and correctly torque a WHOLE new socket brace just so you can kind of tame this CPU.I remember when Intel was known for keeping cool and AMD for getting hot. That's not the case anymore and I'm so disappointed because Intel was my go to with every single PC I ever built."
142,Eric Heuyard,Reviewed in the United States on 31 May 2024,1,"The 13th and 14th gen intel cpu chips are notorious for being unstable and low quality. While installation is easy, the chip may come with deficiencies that get worse over time.For the first couple months after install i would experience BSoD crashes and i was trying to diagnose. Now 2 months later the computer will no longer boot without BSoD. All other hardware has been replaced meaning the chip is absolutely the issue. Currently in the process of RMA negotiations with intel because diagnosis took longer than the amazon return window. So far their service has been slow to respond. Until intel admits to the faults in these generations and offers an actual fix i would suggest sticking to AMD. I wish i had.I personally never overclocked the card, never had the chance, it wasn't very stable on default settings. Had a ticket with intel since 3 days ago, they havent reaponded in 2 days. Buyer be ware..."
