no.,author,date,rating,review,value_for_money,speed,heating_issues
119,Bruce Wayne,Reviewed in the United States on 6 June 2022,3,This is supposedly a brand new cpu but I saw an orange scratch mark. Likely whatever plating was slightly scratched off to expose a copper surface. I just don't think thats acceptable for a 300+ dollar cpu. I could buy an xbox series x for that price and what I got was a maybe used cpu that was run around the ring a few times. It works but disappointed with quality and the thought that I mightve bought a used cpu for over 300 dollars.,0,0,0
120,Crimson,Reviewed in the United States on 4 April 2021,3,It's a i7.  I can't say how much better than the 10 series it is but it's a smooth system. But I have a major problem.  I bought it for integrated graphics/ audio and I cannot get the drivers to install from Intel. It's very annoying not having graphics or audio. Thanks Intel for screwing things up. Edit: I ended up getting a old graphics card for audio and video. So I probably won't be trying integrated again. Everything is smooth now with the system,0,0,0
121,Andrew Sartor,Reviewed in the United States on 3 May 2021,3,"It's an Intel i7, not much more needs to be said than that. It's thermals are good even with just a standard air cooler (I'm using a coolermaster 212 evo). Only problem I'm having with it is with onboard graphics; I get tons of tearing and graphical glitches during web browsing, but never during gaming. Overall, it's a small upgrade over the much cheaper 10th gen, and doesn't really give you much more for the upgrade.",8,8,8
122,JiMi,Reviewed in the United States on 28 November 2021,3,I should have stayed with my I5 10600k I don't see any difference between the two don't waste your money on the I7 would return but I don't want to take my PC apart again thanks Intel for ripping me off,0,0,0
123,Mike Webb,Reviewed in the United States on 13 May 2021,3,this replaced my 10 year old i7 but doesn't seam much of a speed change what a joke 10 years and a small improvement. In every day use just ok the User Bench Mark test shows a good improvement of 40% but I don't notice it. so worth the price NO.,0,0,0
124,LIXIAOYU,Reviewed in the United States on 3 August 2021,3,In some benchmarks it runs just as well as a ryzen 5800x. well...the downside is the temperature.,10,10,0
125,Alex Aires,Reviewed in the United States on 27 April 2021,3,"It works decently, but the graphics are god-awful. There is artifacting (boxes showing up randomly) even when I updated drivers.",0,0,0
126,jh-kzz,Reviewed in Japan on 13 July 2021,3,M/B　３枚交換して上手く動かなくて、cpu交換したら無事に起動出来た、ｍ/ｂとの相性があるようです。,0,0,0
127,Becka,Reviewed in the United States on 17 February 2022,2,"The processor running too hot, i cant cool it even with Cooler Master MasterLiquid ML360 Mirror ARGB CPU Liquid Cooler - 3rd Gen which TDP is 280 Watt and processor itself getting sometime more then 300 Watt. It passed all tests, but because of it running too hot 80 Celsius + i was forced to  under clocking it and I'm frustrated about! Without Turbo it's running cool, but you get 3.6 Ghz that's why I've decided to just under clocking it from 4.9 to 4.2 !!! It is a product review of course not for a seller's !!",0,0,0
128,Hyeok Jeong,Reviewed in the United States on 22 May 2021,2,"If you are looking at my review, please exit this page and look for ryzen's 5000 cpu. I bought 11700k just to play around with OC. (5800x has more gaming performance as well as low heat and also, it has less price) Only down side for ryzen is that it is little more harder to put it on to the motherboard since pin is not on the motherboard but on the cpu itself but it's not biggy. If you are buying this product, make sure it is for overclock and don't expect it to have more performance over cheaper ryzen cpu.",7,8,7
129,Sarang yadav,Reviewed in India on 3 December 2021,1,dislike,4,7,2
130,Thomas,Reviewed in Australia on 7 February 2023,1,"I bought this chip but unfortunately got I’ll and couldn’t use it until after the return policy expired. When I went to use it I found it was a dud chip. The computer would not boot.  On investigating it I found it was faulty, but the company would not exchange it for a good one.  Very disappointed with the supplier.",0,0,0
131,Nochsoeiner,Reviewed in Germany on 15 July 2023,1,"I received the CPU as a second-hand item.
After installation. PC just turns on and off and the CPU LED lights up red.
I sent the processor back again.",0,0,0
132,Tudor Catalin,Reviewed in Germany on 26 September 2022,1,original packaging unsealed and processor missing,0,0,0
133,Kindle Customer,Reviewed in the United States on 11 February 2022,1,Got mine all out in go to push power button and! Nothing….absolutely…NOTHING…put old CPU back in starts up like a champ…tf? Even checked compatibility before buying…I sure hope I can get my money back…,0,0,0
134,Burt,Reviewed in the United States on 3 August 2022,1,This was an open box and it was dead on arrival. Now I am still waiting on my refund as of July 8th.,0,0,0
135,Customer,Reviewed in the United States on 8 September 2021,1,I returned an Intel 11700K because it ran too hot and the 3rd party seller charged me a $75 restocking fee.  This was not mentioned in the return documentation.  Stay away from 3rd party sales.,0,0,0
