No,Author,Date,Rating,Review,,
106,luis d.,Reviewed in the United States on 11 July 2023,4,"the cpu is great for gaming, I use it only for that but the stock coolers is really bad, when first installed got temps about 90-95 celsius while gaming and had to check online for help, it turned out to be a bios setting (dont remember the exact name of the option, but I understand most gaming high end motherboards come with it eneabled) that makes it always go boosted clocks and therefore hot temps, disabled it and got temps down to 70-75 while gaming wich is still hot for my likes but I guess it's acceptable for the stock cooler.soon getting it a liquid cooler, but mostly for aesthetics, a decent air cooler will do the job",,
107,Alberto Cantú,Reviewed in Mexico on 28 January 2023,4,"Considero que es el mejor procesador por este precio, y aun mas si tienes una buena grafica, aunque no lo parece este procesador no hace cuello de botella con graficas de gama media alta",,
108,Tyrell,Reviewed in the United States on 30 April 2024,4,Works great but the pre applied thermal paste it came with was dry,,
109,Works grate! Rx6600,Reviewed in the United States on 5 March 2024,4,I paired my core i5 11400fwith a rx 6600 it a perfect combo for 1080p gaming I just upgraded to it works grate.,,
110,Cynthia A. Holmes,Reviewed in the United States on 26 January 2024,4,It works well with win 11.,,
111,Jose Rios,Reviewed in the United States on 27 February 2023,4,"El procesador es excelente pero necesitaras comprar un discipador de mas potencia si o si, con lo mas minimo que fuerzes el pc te llegara a temperaturas de +85° lo que hara que la pc se apague para evitar daños, cuando le compres un discipador decente podrás jugar y usarlo sin ningún problema",,
112,Alex,Reviewed in the United States on 18 June 2023,4,"Does the job. Not as great as other options, but works",,
113,Hamilton Lewis,Reviewed in the United States on 20 May 2023,4,No me agradó el hecho que trae ni su caja original y menos un cooler,,
114,Jeremy Jadiel Almonte Pacheco,Reviewed in the United States on 8 March 2023,4,"Se desempeña excelente con tareas pesadas de edición y juegos, masque recomendable",,
115,Jaden,Reviewed in the United States on 25 July 2022,4,"For the price, you can’t beat that. I was getting a bit of bottlenecking with my 6th gen i5 6600k. So this cpu definitely out classes that. Not a crazy CPU but is worth it for the money.",,
116,Anthony M.,Reviewed in the United States on 21 August 2022,4,"I run this cpu with a 3070 ti, and it holds up with it well. Very consistent and smooth performance out of this little cpu.",,
117,Jaime Anaya,Reviewed in Mexico on 11 March 2023,4,Por el precio...Buen producto,,
118,DAS,Reviewed in Mexico on 21 February 2023,4,Excelente,,
119,??,Reviewed in Japan on 5 March 2022,4,3??i7?Win11?????????????????????????11??CPU??????????????????????????DEEPCOOL?CASTLE 240EX A-RGB???????????ASROK?H570 Phantom gaming4?????PL????????????????????????????????????????????20??????????GPU???????????????i3??????????????????????i7??????????????????????????????????,,
120,Amazon ?????,Reviewed in Japan on 28 January 2022,4,??????CPU ????????????????????4k????????????????????????????????i74770k????????6??????????????????????,,
121,Kumar Jayant,Reviewed in India on 17 January 2023,3,Worst packaging I have seen. A 100 ? item is better packed then this one. Fortunately it survived.,,
122,UMESH CHAND,Reviewed in India on 16 September 2022,3,????? ?? ??? ?? ???? ?????? ???? ?????? ???? ??? i7 ? ???? ?? ????? ??11 ?????? ?? ? ???? ??,,
123,Sebastien levesque,Reviewed in Canada on 5 May 2023,3,Doesn’t perform as well as I would expect for $200 plus the stock cooler is completely useless I would strongly advise an aio because with the stock cooler on moderate usage the cpu was way over temp,,
124,???,Reviewed in Japan on 26 September 2022,3,?????????????????????????????,,
125,MrSept,Reviewed in the United States on 10 June 2022,3,Must have dedicated graphics card otherwise wont boot at all. It's for gaming rigs. Learned it the hard way lol.,,
126,Amazon Customer,Reviewed in Mexico on 30 March 2023,3,"Tienes que gastar en un ventilador líquido porque el ventilador que trae incluido no enfría el procesador, llega a los 100 grados centígrados",,
127,Evanys Bosson,Reviewed in the United States on 25 November 2022,3,Buen procesador,,
128,Armando Robles,Reviewed in Mexico on 8 May 2024,2,Para la gente que quiere armar una pc gamer el término de los procesadores con letra F al final necesitan forzosamente de una tarjeta gráfica para dar video,,
129,Dustin Gatewood,Reviewed in the United States on 17 January 2023,2,Runs insanely hot. Even with hyper 212 and 7 fans. Cannot be used with Adobe CS on windows 11.,,
130,Donaldh49,Reviewed in the United States on 29 July 2021,2,"I didn't like because it would run up to 4.2 that base is 2.6 lucky if it could make what I am running now of the 3.2.Watch the base speed in buying,tubo go equal to the base speed not jumps.up to is a false statement.",,
131,Soumyajit Das,Reviewed in India on 11 September 2023,1,Received a seal broken used product .,,
132,Anish pawar,Reviewed in India on 12 February 2023,1,[object Object],,
133,Manmohan b.,Reviewed in India on 27 December 2022,1,Ghatiya product,,
134,Richard D. - Professional IT Services since 1998,Reviewed in the United States on 16 March 2022,1,"I am floored by being sent a supposedly New, Supposedly Unopened Intel Core™ i5-11400F Desktop Processor 6 Cores up to 4.4 GHz LGA1200, only to discover that it was completely 100% Dead. I finally determined this by inserting a replacement CPU from another PC, and then this newly built system worked Great.I want this vendor to send me what I paid for, an UnOpened Intel Core™ i5-11400F Desktop Processor 6 Cores up to 4.4 GHz LGA1200 in it's original box, and one that truly Works!! I wonder how many other Amazon buyers have experienced a similar Failed CPU from this same Amazon Dealer.",,
135,Anthony Junco,Reviewed in the United States on 9 February 2023,1,"Selected “new” in the filter after I searched for this core specifically.Clearly NOT new, because it showed up in a sealed package with thermal paste applied on the cpu already.",,
136,Michael Peña,Reviewed in the United States on 21 January 2023,1,"Very bad experience, the product barely lasted a month, and it's dead.Dont buy in Platinum Micro Inc.",,
137,Jason Belkus,Reviewed in the United States on 21 July 2022,1,"Came dead, have to get a new one.",,
138,Andres Hidalgo Castillo,Reviewed in the United States on 7 September 2022,1,No funciona.,,
139,,,,,,
140,,,,,,
141,,,,,,
142,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
149,,,,,,
150,,,,,,
151,,,,,,
152,,,,,,
153,,,,,,
154,,,,,,
155,,,,,,
156,,,,,,
157,,,,,,
158,,,,,,
159,,,,,,
160,,,,,,
161,,,,,,
162,,,,,,
163,,,,,,
164,,,,,,
165,,,,,,
166,,,,,,
167,,,,,,
168,,,,,,
169,,,,,,
170,,,,,,
171,,,,,,
172,,,,,,
173,,,,,,
174,,,,,,
175,,,,,,
176,,,,,,
177,,,,,,
178,,,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,,,,,,
183,,,,,,
184,,,,,,
185,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,,
190,,,,,,
191,,,,,,
192,,,,,,
193,,,,,,
194,,,,,,
195,,,,,,
196,,,,,,
197,,,,,,
198,,,,,,
199,,,,,,
200,,,,,,
201,,,,,,
202,,,,,,
203,,,,,,
204,,,,,,
205,,,,,,
206,,,,,,
207,,,,,,
208,,,,,,
209,,,,,,
210,,,,,,
211,,,,,,
212,,,,,,
213,,,,,,
214,,,,,,
215,,,,,,
216,,,,,,
217,,,,,,
218,,,,,,
219,,,,,,
220,,,,,,
221,,,,,,
222,,,,,,
223,,,,,,
224,,,,,,
225,,,,,,
226,,,,,,
227,,,,,,
228,,,,,,
229,,,,,,
230,,,,,,
231,,,,,,
232,,,,,,
233,,,,,,
234,,,,,,
235,,,,,,
236,,,,,,
237,,,,,,
238,,,,,,
239,,,,,,
240,,,,,,
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,,,,,,
246,,,,,,
247,,,,,,
248,,,,,,
249,,,,,,
250,,,,,,
251,,,,,,
252,,,,,,
253,,,,,,
254,,,,,,
255,,,,,,
256,,,,,,
257,,,,,,
258,,,,,,
259,,,,,,
260,,,,,,
261,,,,,,
262,,,,,,
263,,,,,,
264,,,,,,
265,,,,,,
266,,,,,,
267,,,,,,
268,,,,,,
269,,,,,,
270,,,,,,
271,,,,,,
272,,,,,,
273,,,,,,
274,,,,,,
275,,,,,,
276,,,,,,
277,,,,,,
278,,,,,,
279,,,,,,
280,,,,,,
281,,,,,,
282,,,,,,
283,,,,,,
284,,,,,,
285,,,,,,
286,,,,,,
287,,,,,,
288,,,,,,
289,,,,,,
290,,,,,,
291,,,,,,
292,,,,,,
293,,,,,,
294,,,,,,
295,,,,,,
296,,,,,,
297,,,,,,
298,,,,,,
299,,,,,,
300,,,,,,
301,,,,,,
302,,,,,,
303,,,,,,
304,,,,,,
305,,,,,,
306,,,,,,
307,,,,,,
308,,,,,,
309,,,,,,
310,,,,,,
311,,,,,,
312,,,,,,
313,,,,,,
314,,,,,,
315,,,,,,
316,,,,,,
317,,,,,,
318,,,,,,
319,,,,,,
320,,,,,,
321,,,,,,
322,,,,,,
323,,,,,,
324,,,,,,
325,,,,,,
326,,,,,,
327,,,,,,
328,,,,,,
329,,,,,,
330,,,,,,
331,,,,,,
332,,,,,,
333,,,,,,
334,,,,,,
335,,,,,,
336,,,,,,
337,,,,,,
338,,,,,,
339,,,,,,
340,,,,,,
341,,,,,,
342,,,,,,
343,,,,,,
344,,,,,,
345,,,,,,
346,,,,,,
347,,,,,,
348,,,,,,
349,,,,,,
350,,,,,,
351,,,,,,
352,,,,,,
353,,,,,,
354,,,,,,
355,,,,,,
356,,,,,,
357,,,,,,
358,,,,,,
359,,,,,,
360,,,,,,
361,,,,,,
362,,,,,,
363,,,,,,
364,,,,,,
365,,,,,,
366,,,,,,
367,,,,,,
368,,,,,,
369,,,,,,
370,,,,,,
371,,,,,,
372,,,,,,
373,,,,,,
374,,,,,,
375,,,,,,
376,,,,,,
377,,,,,,
378,,,,,,
379,,,,,,
380,,,,,,
381,,,,,,
382,,,,,,
383,,,,,,
384,,,,,,
385,,,,,,
386,,,,,,
387,,,,,,
388,,,,,,
389,,,,,,
390,,,,,,
391,,,,,,
392,,,,,,
393,,,,,,
394,,,,,,
395,,,,,,
396,,,,,,
397,,,,,,
398,,,,,,
399,,,,,,
400,,,,,,
401,,,,,,
402,,,,,,
403,,,,,,
404,,,,,,
405,,,,,,
406,,,,,,
407,,,,,,
408,,,,,,
409,,,,,,
410,,,,,,
411,,,,,,
412,,,,,,
413,,,,,,
414,,,,,,
415,,,,,,
416,,,,,,
417,,,,,,
418,,,,,,
419,,,,,,
420,,,,,,
421,,,,,,
422,,,,,,
423,,,,,,
424,,,,,,
425,,,,,,
426,,,,,,
427,,,,,,
428,,,,,,
429,,,,,,
430,,,,,,
431,,,,,,
432,,,,,,
433,,,,,,
434,,,,,,
435,,,,,,
436,,,,,,
437,,,,,,
438,,,,,,
439,,,,,,
440,,,,,,
441,,,,,,
442,,,,,,
443,,,,,,
444,,,,,,
445,,,,,,
446,,,,,,
447,,,,,,
448,,,,,,
449,,,,,,
450,,,,,,
451,,,,,,
452,,,,,,
453,,,,,,
454,,,,,,
455,,,,,,
456,,,,,,
457,,,,,,
458,,,,,,
459,,,,,,
460,,,,,,
461,,,,,,
462,,,,,,
463,,,,,,
464,,,,,,
465,,,,,,
466,,,,,,
467,,,,,,
468,,,,,,
469,,,,,,
470,,,,,,
471,,,,,,
472,,,,,,
473,,,,,,
474,,,,,,
475,,,,,,
476,,,,,,
477,,,,,,
478,,,,,,
479,,,,,,
480,,,,,,
481,,,,,,
482,,,,,,
483,,,,,,
484,,,,,,
485,,,,,,
486,,,,,,
487,,,,,,
488,,,,,,
489,,,,,,
490,,,,,,
491,,,,,,
492,,,,,,
493,,,,,,
494,,,,,,
495,,,,,,
496,,,,,,
497,,,,,,
498,,,,,,
499,,,,,,
500,,,,,,
501,,,,,,
502,,,,,,
503,,,,,,
504,,,,,,
505,,,,,,
506,,,,,,
507,,,,,,
508,,,,,,
509,,,,,,
510,,,,,,
511,,,,,,
512,,,,,,
513,,,,,,
514,,,,,,
515,,,,,,
516,,,,,,
517,,,,,,
518,,,,,,
