No,Author,Date,Rating,Review,
102,"When I received the cpu was out of the packaging and just floating around the box, which discolouring all over it and little specs of dirt or something on the back",Reviewed in Canada on 4 January 2024,2,"{""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY"",""productId"":"""",""eventOwner"":""vsemetrics_playercards"",""schemaId"":""clickstream.CustomerEvent.4"",""producerId"":""vsemetrics_playercards"",""eventType"":""IVEVideoView""},""clientPrefix"":""vse_reviews_desktop_r2o1tajcp47ubm_1720201608468"",""closedCaptionsConfig"":{""captionsOnTexts"":{""en"":""English (Automated)""},""captionsOffText"":""Captions off"",""languageToLabelTexts"":{""English"":""English""}},""sushiMetricsConfig"":{""isRobot"":false,""clientId"":""VSE-IN"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""sessionId"":""258-0181232-1845344"",""refMarkers"":""vse_reviews_desktop_R2O1TAJCP47UBM_1720201608468_ref"",""placementContext"":""cr_inline_review"",""marketplaceId"":""A21TJRUUN4KGV"",""isInternal"":false,""endpoint"":""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""ZENZ3E78XCZ9K3E6R0RF"",""customerId"":""0"",""sessionType"":1},""mimeType"":""application/x-mpegURL"",""nexusMetricsConfig"":{""isInternal"":false,""widgetMetricsSchemaId"":""vse.VSECardsEvents.8"",""clientId"":""VSE-IN"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""videoAsin"":""R2O1TAJCP47UBM"",""producerId"":""vsemetrics_playercards"",""refMarkers"":""vse_reviews_desktop_R2O1TAJCP47UBM_1720201608468_ref"",""placementContext"":""cr_inline_review"",""playerTSMMetricsSchemaId"":""vse.VSECardsPlayerEvents.7""},""videoHeight"":0,""videoWidth"":0,""initialClosedCaptions"":""en,https://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-us-east-1-prod/closedCaptions/19c484e3-840d-4205-86c6-15c414c86a8d.vtt"",""videoUrl"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/78f0f086-718c-4ed5-8e7c-6a838c18c690/default.vertical.jobtemplate.hls.m3u8"",""metricsEmissionMethod"":""nexus"",""imageUrl"":""https://m.media-amazon.com/images/I/41rPedPwdfL._SY256._SY256.jpg"",""awaConfig"":{""useUpNextComponent"":false,""clickstreamNexusMetricsConfig"":{""actionType"":""DISCOVERY"",""productId"":"""",""eventOwner"":""vsemetrics_playercards"",""schemaId"":""clickstream.CustomerEvent.4"",""producerId"":""vsemetrics_playercards"",""eventType"":""IVEVideoView""},""initialVideo"":""R2O1TAJCP47UBM"",""shouldPreload"":true,""enableClickBasedAttribution"":false,""isChromelessPlayer"":false,""closedCaptionsConfig"":{""captionsOnTexts"":{""en"":""English (Automated)""},""captionsOffText"":""Captions off"",""languageToLabelTexts"":{""English"":""English""}},""isVideoImmersivePlayer"":false,""metricsEmissionMethod"":""nexus"",""skipInitialFocus"":false,""playerSkin"":""none"",""disabledViewIds"":[""replayHint""],""includeEarnsComissionDisclosure"":false,""customerId"":""0"",""containerId"":""vse_reviews_desktop_r2o1tajcp47ubm_1720201608468-player-3180eec6-19aa-4ea1-ac7e-57ddcb2cc09b"",""requestMetadata"":{""marketplaceId"":""A21TJRUUN4KGV"",""clientId"":""VSE-IN"",""method"":""cr_inline_review"",""requestId"":""ZENZ3E78XCZ9K3E6R0RF"",""pageAsin"":"""",""sessionId"":""258-0181232-1845344""},""shouldLoop"":false,""shouldDisableControls"":false,""alwaysSetInitialVideo"":true,""showPlayerCloseButton"":false,""clientPrefix"":"""",""useAutoplayFallback"":false,""sushiMetricsConfig"":{""isRobot"":false,""clientId"":""VSE-IN"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""sessionId"":""258-0181232-1845344"",""refMarkers"":""vse_reviews_desktop_R2O1TAJCP47UBM_1720201608468_ref"",""placementContext"":""cr_inline_review"",""marketplaceId"":""A21TJRUUN4KGV"",""isInternal"":false,""endpoint"":""https://unagi-eu.amazon.com/1/events/com.amazon.eel.vse.metrics.prod.events.test"",""requestId"":""ZENZ3E78XCZ9K3E6R0RF"",""customerId"":""0"",""sessionType"":1},""ospLinkCode"":"""",""showPosterImage"":true,""languageCode"":""en"",""version"":"""",""nexusMetricsConfig"":{""isInternal"":false,""widgetMetricsSchemaId"":""vse.VSECardsEvents.8"",""clientId"":""VSE-IN"",""videoAsinList"":"""",""weblabIds"":"""",""eventSource"":""Player"",""videoAsin"":""R2O1TAJCP47UBM"",""producerId"":""vsemetrics_playercards"",""refMarkers"":""vse_reviews_desktop_R2O1TAJCP47UBM_1720201608468_ref"",""placementContext"":""cr_inline_review"",""playerTSMMetricsSchemaId"":""vse.VSECardsPlayerEvents.7""},""shouldStartMuted"":false,""airyVersion"":""VideoJS"",""languagePreferenceStrings"":{},""enableInactiveFocus"":true,""isReactFactory"":false,""enableDelphiAttribution"":false,""includeReportWidget"":false,""shouldAutoplay"":false},""needPlayerFactory"":false,""isMobile"":false}Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:00Loaded: 0%Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:00 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions off, selectedAudio TrackFullscreenThis is a modal window.The media could not be loaded, either because the server or network failed or because the format is not supported.When I received the item, it was fully out of the packaging and floating around, now when I go to use it I notice this stain on the left of the cpu",
103,Samo Alshara,Reviewed in the United States on 3 May 2024,2,My sons using it so I guess its agood item,
104,Jayson,Reviewed in the United States on 7 August 2023,2,Thanks Amazon/Intel for shipping a faulty CPU then proceed to try to make me wait a week except I could order a new one within overnight.No wonder you're losing business. If it's YOUR fkup you should be putting it on higher priorities or ship it to me like the defective one was. Not an entire week later.The new one works but this process has been a migraine,
105,Megan,Reviewed in Canada on 10 September 2023,2,No stock cooler. Extremely annoying.,
106,GoCool,Reviewed in the United States on 13 October 2023,2,The product arrived in a damaged box and the chip was loose inside the box having been freed from its packaging. Returned.,
107,Zakkey@ST250,Reviewed in Japan on 6 February 2022,2,??????????25466ptAMD Ryzen 5 3600X ??????19515pt??CPU Intel Core i5 12600K?????????????????????????????????????????????????????????????????AMD??????,
108,Evil,Reviewed in India on 25 September 2022,1,The processor is Good But too expensive here In Local Market Its around 25000 RupeesI didnt Like Its Rate but overall its Ok,
109,Brian,Reviewed in the United States on 23 January 2022,1,"No support for deepcool heatsinks, wasted time modifying it to fit, (it does work, but wasted a couple hours on a process that should take 5-10 minutes). I have never had so much trouble get a cpu to run in linux. Good grief, I’m a computer expert by trade, and intel should have waited to release this series. I know the competition is tough, but I definitely wont go and buy another one of these. I thought it would be a good investment. I may have damage my motherboard on install, as the cpu slip out of my hands and banged up against the socket bent some pins. It was so hard to get running under linux, graphics support is nonexistent, i can only the XE2 new graphics cards will be more of the same since these are based on that Technology. You can find a work around on Phoronix for the graphics problem, however the image on linux sucks it’s more pixelated than i would like. I would like to mention I needed to my rx 580 to get this thing running as the Linux OS didn’t recognize the GFX chip on the cpu. And with the way the situation is with gpu’s I’m lucky to have had one at hand. The Bios also doesn’t show on my pc correctly if you use the onboard Intel graphics, its cutoff . Also the hard drive was not recognized with the motherboard but it happed two motherboard asrock and gigabyte. I had to install a new elilo version to get the efi to work. What can i say the performance is good, but runs hot 120 watts at the cpu when doing multithreaded task like compiling the kernel. It does that fast but Ryzen 12 core does it faster and with less power 95watts. It’s hard to say this was an upgrade, my head hurts whenever an issue comes up with this cpu. Now after about month of use the gfx is acting weird, it starts to fragment / pixelated and gets stuck. I’m sure intel knows and I probably should have just gotten a kf series instead because it is so bad now i just left the dang rx 580 in the system. Maybe I’m not the only one, I’m sure a class action lawsuit is in the works. I have not been able to enjoy this since I purchased on day one. I would have returned this but then I would have to return the motherboard to another vendor and i sure don’t want to go to that trouble. I fortunately got ddr4 version so I reduced the amount of ram in the computer and will use it as is until it dies. Hopefully after this crypto boom I’ll be able to snag a ryzen 5th gen combo for cheap. My intel can fix this but it will be years before this happens. They are too busy playing catch up. The power efficiency is terrible and the whole experience is about as bad as it gets. Save yourself a headache and get something comparable like a 3700x or better. This is not worth the price or painful install procedures. I just thought it was ridiculous coming from intel, didnt they create the PCs we know of today??? Did i mention the bios was cuttoff on left and right edges so you cant read the functions??? I’m surprised Intel engineers released this, more of a sample than a final product. Buy something else, did i mention the cheapest motherboard sets you back around $200, so $500 into this ordeal is not a good experience, could have purchased 2 sets of used ryzen 7 8 core cpus and motherboard for the same money and ultimately gotten more performance in power usage and cpu. That’s my thoughts on this product.",
110,AaronBalck21,Reviewed in the United States on 12 December 2023,1,"So I ordered this 12600K as it was for sale on BF, when I recieved order, I started to install it on my MB(MS? B660M MORTAR WIFI DDR4). Insalation went without any problem, but when I tried to turn it on, CPU light on MB turned red, then DRAM lights turned yellow, it cycled like this for 3-4 times and then it went to DRAM lights yellow only. I tried to swap RAM, BIOS flash, reset, tried to to plug out and in CPU pin connectors and etc. It just didn't worked, but it wasn't main problem, when I tried to pu my old cpu(12400) back to MB it didn't turned on also, say?n same problems. I took my PC to service, there was no damage to any hardware, including MB pins. Somehow your faulty 12600K did shenanigans on my MB so service had to, as much as I understand BIOS reset or flash my MB again for my old CPU to work. Extremely disappointed. Was ur customer for a year already and always choose to buy directly from Amazon, but didn't expected this kind of product quality",
111,donald,Reviewed in the United States on 2 December 2023,1,Ok well I bought a I5 somewhere else and its great really the cpu is amazing for every thing you really need in a pc. however amazon lost my package and never let me buy it at the black friday price I bought it at so now I had to buy $80 over the original black friday price.,
112,????,Reviewed in Japan on 13 February 2022,1,??????CPUASRock H670 PG RiptideDDR4 3600Mhz 32GBPCIe gen4 ? SSD 2TB???????7IV ????4k??60FPS?XAVC HS 4K 60FPS 100M 4:2:2 10bit ????Windows 11 ??VLC???????????????????????????????????CPU???50%?????????????????????SSD?????10%??????????????????????????????????CPU?????????FULL?????????????????????SMPlayer ??P????????80%??????????????????????XAVC HS 4K 60FPS 150M 4:2:0 10bit ????????????????????????????????????core i5 ?????????????????????OC????H670??????????K??CPU??????????????????????????????12600k?????????????????????????????M1 Mac Mini ????16GB???????????VLC?XAVC HS 4K 60FPS 100M 4:2:2 10bit????????????????????????????????M1 Mac Mini?????Adobe Lightroom???????RAW??????JPEG??????M1 Mac Mini ????16GB???????????????????????????????????????M1 Mac ????????????????????????????????????????,
113,0.1,Reviewed in the United States on 25 August 2023,1,"Viene sin cooler, y los antiguos no son compatibles, todas las generaciones los incluían, debería poner que no lo trae en el titulo, perdi mucho tiempo en esto.",
114,Pinky,Reviewed in the United States on 21 December 2023,1,Why… just… why is that not prominently mentioned… awful….,
115,eduardojb28,Reviewed in the United States on 29 September 2023,1,"The processor died after a month, I don't recommend it.",
116,Lisseth Hernandez,Reviewed in the United States on 25 August 2022,1,Recieved cpu broken didn't build pc in time for return and now i can't return it.,
117,Ryan H,Reviewed in the United States on 2 July 2022,1,"DOES NOT COME WITH A COOLER, YOU CANNOT USE IT WITHOUT ONE. So frustrating, every CPU I've ever bought comes with a cooler.",
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,,,,,
131,,,,,
132,,,,,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
149,,,,,
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,,,,,
155,,,,,
156,,,,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,,,,,
170,,,,,
171,,,,,
172,,,,,
173,,,,,
174,,,,,
175,,,,,
176,,,,,
177,,,,,
178,,,,,
179,,,,,
180,,,,,
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,,,,
194,,,,,
195,,,,,
196,,,,,
197,,,,,
198,,,,,
199,,,,,
200,,,,,
201,,,,,
202,,,,,
203,,,,,
204,,,,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
217,,,,,
218,,,,,
219,,,,,
220,,,,,
221,,,,,
222,,,,,
223,,,,,
224,,,,,
225,,,,,
226,,,,,
227,,,,,
228,,,,,
229,,,,,
230,,,,,
231,,,,,
232,,,,,
233,,,,,
234,,,,,
235,,,,,
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,
252,,,,,
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
